2023-04-15|10:13:25|ergonomic keyboard|Amazon|-89.50
2023-04-15|11:15:00|Invoice 1001 paid|Joe|1500.00
2023-04-16|14:30:45|Grocery shopping|Walmart|-120.35
2024-04-17|09:05:10|Gasoline|Shell|-45.00
2024-04-18|12:30:00|Monthly rent payment|ABC Apartments|-2000.00
2024-04-19|15:20:30|Dinner with friends|Cheesecake Factory|-85.20
2024-04-21|08:45:00|Salary deposit|ABC Company|5000.00
2024-04-23|14:00:15|Haircut|Mario's Barber Shop|-35.00
2024-04-24|16:10:00|Online course subscription|Udemy|-70.00
2024-10-17|10:11:50|Payment for Car|Hyundai|2500.0
2024-01-05|10:15:15|Monthly payment for Car|Hyundai|-1500.0
2024-04-09|15:12:45|Payment for Gaming Laptop|MSI|1200.0
2024-05-09|12:15:14|First payment for Gaming Laptop|MSI|-300.0
2024-07-01|12:25:34|Loan for Home|Real Estate|150000.0
2024-08-01|14:12:56|First payment for Home|Real Estate|-25000.0
2023-10-12|14:12:37|Depost for debit card|BofA|5000.0
2023-07-05|15:12:46|Deposit for Debit|Citizen Bank|5000.0
2023-01-10|16:12:12|Year Up Deposit|Year Up|100.0
2023-10-12|16:23:24|Zelle deposit|Zelle|500.0
